ap_id,rssi,room_id
TP-Link_27F9,-52,A501
Priva,-52,A501
Novinari,-68,A501
IoT Lab,-71,A501
AndroidAP5514,-73,A501
eduroam,-74,A501
free_wifi,-74,A501
Novinari,-74,A501
Vijecnici,-74,A501
predavaonice,-74,A501
Priva,-51,A501
TP-Link_27F9,-52,A501
Vijecnici,-67,A501
fesb-mobile,-67,A501
AndroidAP5514,-68,A501
IoT Lab,-69,A501
Novinari,-69,A501
eduroam,-70,A501
Novinari,-73,A501
Vijecnici,-73,A501
TP-Link_27F9,-53,A501
Priva,-53,A501
Novinari,-66,A501
eduroam,-67,A501
Vijecnici,-67,A501
fesb-mobile,-67,A501
predavaonice,-67,A501
Konferencija,-67,A501
SDZ,-69,A501
IoT Lab,-73,A501
TP-Link_27F9,-51,A501
Priva,-52,A501
Konferencija,-68,A501
SDZ,-68,A501
IoT Lab,-70,A501
eduroam,-71,A501
Novinari,-72,A501
predavaonice,-72,A501
Vijecnici,-73,A501
fesb-mobile,-73,A501
TP-Link_27F9,-52,A501
Priva,-52,A501
IoT Lab,-65,A501
Novinari,-67,A501
Konferencija,-67,A501
eduroam,-68,A501
fesb-mobile,-68,A501
SDZ,-68,A501
Vijecnici,-69,A501
predavaonice,-69,A501
TP-Link_27F9,-54,A501
Priva,-54,A501
AndroidAP5514,-67,A501
eduroam,-67,A501
IoT Lab,-68,A501
Novinari,-68,A501
free_wifi,-73,A501
Vijecnici,-74,A501
predavaonice,-74,A501
Konferencija,-74,A501
Priva,-52,A501
TP-Link_27F9,-53,A501
IoT Lab,-67,A501
AndroidAP5514,-71,A501
Vijecnici,-71,A501
predavaonice,-71,A501
SDZ,-71,A501
fesb-mobile,-72,A501
Konferencija,-72,A501
free_wifi,-73,A501
TP-Link_27F9,-52,A501
Priva,-53,A501
eduroam,-65,A501
Konferencija,-65,A501
Novinari,-66,A501
Vijecnici,-66,A501
fesb-mobile,-68,A501
predavaonice,-68,A501
SDZ,-68,A501
eduroam,-72,A501
