ap_id,rssi,room_id
KTOS,-56,A507
DIRECT-A8-HP OfficeJet Pro 8730,-65,A507
EMLAB,-71,A507
eduroam,-71,A507
dlink-6200,-77,A507
free_wifi,-78,A507
TesLAB,-81,A507
EMLAB,-86,A507
eduroam,-87,A507
Vijecnici,-87,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
KTOS,-53,A507
EMLAB,-70,A507
eduroam,-72,A507
free_wifi,-77,A507
dlink-6200,-77,A507
TesLAB,-84,A507
fesb-mobile,-87,A507
eduroam,-88,A507
SDZ,-88,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
KTOS,-54,A507
Novinari,-68,A507
fesb-mobile,-68,A507
predavaonice,-68,A507
Konferencija,-68,A507
EMLAB,-69,A507
eduroam,-69,A507
Vijecnici,-69,A507
dlink-6200,-74,A507
KTOS,-52,A507
DIRECT-A8-HP OfficeJet Pro 8730,-53,A507
fesb-mobile,-67,A507
Novinari,-67,A507
predavaonice,-67,A507
Konferencija,-67,A507
SDZ,-67,A507
eduroam,-67,A507
EMLAB,-73,A507
Vijecnici,-73,A507
KTOS,-54,A507
DIRECT-A8-HP OfficeJet Pro 8730,-64,A507
eduroam,-67,A507
EMLAB,-74,A507
free_wifi,-76,A507
dlink-6200,-76,A507
Radio Data,-79,A507
IoT Lab,-79,A507
TesLAB,-81,A507
Vijecnici,-88,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
KTOS,-54,A507
Konferencija,-67,A507
eduroam,-67,A507
Novinari,-67,A507
Vijecnici,-67,A507
fesb-mobile,-67,A507
predavaonice,-67,A507
SDZ,-67,A507
EMLAB,-68,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
KTOS,-54,A507
fesb-mobile,-63,A507
SDZ,-63,A507
Konferencija,-64,A507
Novinari,-65,A507
Vijecnici,-65,A507
eduroam,-66,A507
predavaonice,-66,A507
EMLAB,-69,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
KTOS,-57,A507
fesb-mobile,-66,A507
Novinari,-67,A507
Konferencija,-67,A507
eduroam,-68,A507
Vijecnici,-68,A507
predavaonice,-68,A507
SDZ,-68,A507
free_wifi,-75,A507
KTOS,-55,A507
Novinari,-65,A507
eduroam,-66,A507
Vijecnici,-66,A507
DIRECT-A8-HP OfficeJet Pro 8730,-67,A507
EMLAB,-68,A507
dlink-6200,-77,A507
free_wifi,-78,A507
IoT Lab,-79,A507
TesLAB,-80,A507
KTOS,-58,A507
eduroam,-67,A507
EMLAB,-68,A507
fesb-mobile,-68,A507
predavaonice,-68,A507
DIRECT-A8-HP OfficeJet Pro 8730,-69,A507
Vijecnici,-69,A507
Novinari,-70,A507
SDZ,-70,A507
Konferencija,-75,A507
KTOS,-53,A507
predavaonice,-64,A507
Konferencija,-64,A507
Novinari,-65,A507
Vijecnici,-65,A507
fesb-mobile,-65,A507
SDZ,-65,A507
eduroam,-66,A507
DIRECT-A8-HP OfficeJet Pro 8730,-69,A507
EMLAB,-70,A507
KTOS,-50,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
