ap_id,rssi,room_id
predavaonice,-59,Hodnik
fesb-mobile,-60,Hodnik
eduroam,-60,Hodnik
fesb-mobile,-60,Hodnik
Konferencija,-60,Hodnik
SDZ,-60,Hodnik
Konferencija,-61,Hodnik
SDZ,-61,Hodnik
eduroam,-61,Hodnik
Novinari,-61,Hodnik
eduroam,-60,Hodnik
SDZ,-61,Hodnik
Novinari,-61,Hodnik
Konferencija,-66,Hodnik
predavaonice,-66,Hodnik
TP-Link_27F9,-66,Hodnik
Vijecnici,-67,Hodnik
eduroam,-69,Hodnik
fesb-mobile,-69,Hodnik
SDZ,-69,Hodnik
Vijecnici,-59,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
predavaonice,-60,Hodnik
Konferencija,-60,Hodnik
eduroam,-60,Hodnik
TP-Link_27F9,-65,Hodnik
fesb-mobile,-66,Hodnik
eduroam,-67,Hodnik
fesb-mobile,-68,Hodnik
eduroam,-59,Hodnik
eduroam,-60,Hodnik
Vijecnici,-60,Hodnik
Novinari,-61,Hodnik
SDZ,-65,Hodnik
predavaonice,-65,Hodnik
Konferencija,-67,Hodnik
TP-Link_27F9,-67,Hodnik
free_wifi,-68,Hodnik
eduroam,-69,Hodnik
fesb-mobile,-55,Hodnik
SDZ,-59,Hodnik
eduroam,-60,Hodnik
Vijecnici,-60,Hodnik
eduroam,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
Novinari,-61,Hodnik
Novinari,-61,Hodnik
predavaonice,-61,Hodnik
Vijecnici,-59,Hodnik
fesb-mobile,-59,Hodnik
predavaonice,-59,Hodnik
Konferencija,-59,Hodnik
SDZ,-59,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
predavaonice,-60,Hodnik
eduroam,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
Novinari,-61,Hodnik
eduroam,-61,Hodnik
Novinari,-62,Hodnik
TP-Link_27F9,-66,Hodnik
free_wifi,-69,Hodnik
fesb-mobile,-69,Hodnik
SDZ,-69,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
Vijecnici,-60,Hodnik
predavaonice,-60,Hodnik
fesb-mobile,-61,Hodnik
eduroam,-61,Hodnik
Novinari,-61,Hodnik
Vijecnici,-61,Hodnik
fesb-mobile,-61,Hodnik
Konferencija,-61,Hodnik
Novinari,-56,Hodnik
Vijecnici,-60,Hodnik
predavaonice,-60,Hodnik
Konferencija,-60,Hodnik
SDZ,-60,Hodnik
eduroam,-61,Hodnik
eduroam,-61,Hodnik
Vijecnici,-61,Hodnik
predavaonice,-61,Hodnik
Konferencija,-61,Hodnik
eduroam,-57,Hodnik
Novinari,-57,Hodnik
Vijecnici,-58,Hodnik
Novinari,-58,Hodnik
eduroam,-59,Hodnik
Vijecnici,-59,Hodnik
fesb-mobile,-59,Hodnik
predavaonice,-61,Hodnik
predavaonice,-67,Hodnik
fesb-mobile,-69,Hodnik
SDZ,-58,Hodnik
Novinari,-59,Hodnik
Vijecnici,-59,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
fesb-mobile,-60,Hodnik
Konferencija,-60,Hodnik
SDZ,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
eduroam,-60,Hodnik
eduroam,-61,Hodnik
predavaonice,-61,Hodnik
Novinari,-61,Hodnik
Vijecnici,-61,Hodnik
fesb-mobile,-61,Hodnik
TP-Link_27F9,-64,Hodnik
Novinari,-67,Hodnik
SDZ,-68,Hodnik
Konferencija,-69,Hodnik
eduroam,-60,Hodnik
fesb-mobile,-60,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
Vijecnici,-61,Hodnik
free_wifi,-67,Hodnik
eduroam,-67,Hodnik
SDZ,-68,Hodnik
TP-Link_27F9,-68,Hodnik
predavaonice,-70,Hodnik
fesb-mobile,-59,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
Vijecnici,-60,Hodnik
predavaonice,-60,Hodnik
Konferencija,-60,Hodnik
SDZ,-60,Hodnik
fesb-mobile,-60,Hodnik
Novinari,-60,Hodnik
Konferencija,-60,Hodnik
Vijecnici,-59,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
fesb-mobile,-60,Hodnik
eduroam,-60,Hodnik
TP-Link_27F9,-65,Hodnik
eduroam,-67,Hodnik
Novinari,-67,Hodnik
Vijecnici,-67,Hodnik
free_wifi,-68,Hodnik
eduroam,-59,Hodnik
predavaonice,-60,Hodnik
Novinari,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
eduroam,-60,Hodnik
Novinari,-61,Hodnik
TP-Link_27F9,-66,Hodnik
eduroam,-67,Hodnik
Novinari,-68,Hodnik
Novinari,-60,Hodnik
eduroam,-61,Hodnik
Vijecnici,-61,Hodnik
fesb-mobile,-61,Hodnik
predavaonice,-61,Hodnik
Konferencija,-61,Hodnik
SDZ,-61,Hodnik
eduroam,-62,Hodnik
Novinari,-62,Hodnik
Vijecnici,-62,Hodnik
eduroam,-58,Hodnik
Novinari,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
Konferencija,-60,Hodnik
SDZ,-60,Hodnik
predavaonice,-61,Hodnik
Konferencija,-61,Hodnik
eduroam,-61,Hodnik
Novinari,-61,Hodnik
eduroam,-60,Hodnik
Vijecnici,-60,Hodnik
Konferencija,-60,Hodnik
Novinari,-61,Hodnik
fesb-mobile,-61,Hodnik
predavaonice,-61,Hodnik
SDZ,-61,Hodnik
eduroam,-61,Hodnik
Novinari,-61,Hodnik
Vijecnici,-61,Hodnik
eduroam,-60,Hodnik
Novinari,-60,Hodnik
fesb-mobile,-60,Hodnik
eduroam,-61,Hodnik
Vijecnici,-61,Hodnik
predavaonice,-61,Hodnik
SDZ,-65,Hodnik
eduroam,-68,Hodnik
free_wifi,-69,Hodnik
TP-Link_27F9,-71,Hodnik
Novinari,-60,Hodnik
eduroam,-61,Hodnik
Vijecnici,-61,Hodnik
fesb-mobile,-61,Hodnik
predavaonice,-61,Hodnik
Konferencija,-61,Hodnik
SDZ,-61,Hodnik
predavaonice,-64,Hodnik
TP-Link_27F9,-65,Hodnik
free_wifi,-69,Hodnik
Novinari,-60,Hodnik
eduroam,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
Novinari,-60,Hodnik
eduroam,-60,Hodnik
Konferencija,-60,Hodnik
predavaonice,-61,Hodnik
eduroam,-59,Hodnik
Novinari,-60,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
Novinari,-60,Hodnik
predavaonice,-60,Hodnik
Konferencija,-60,Hodnik
eduroam,-61,Hodnik
fesb-mobile,-61,Hodnik
Vijecnici,-61,Hodnik
Novinari,-59,Hodnik
fesb-mobile,-60,Hodnik
eduroam,-60,Hodnik
eduroam,-61,Hodnik
Vijecnici,-61,Hodnik
predavaonice,-61,Hodnik
Novinari,-61,Hodnik
SDZ,-65,Hodnik
Novinari,-66,Hodnik
TP-Link_27F9,-67,Hodnik
eduroam,-58,Hodnik
Novinari,-59,Hodnik
Vijecnici,-60,Hodnik
fesb-mobile,-60,Hodnik
Konferencija,-60,Hodnik
SDZ,-60,Hodnik
eduroam,-61,Hodnik
Novinari,-61,Hodnik
Vijecnici,-61,Hodnik
predavaonice,-61,Hodnik
fesb-mobile,-60,Hodnik
SDZ,-62,Hodnik
TP-Link_27F9,-63,Hodnik
Konferencija,-63,Hodnik
Konferencija,-64,Hodnik
eduroam,-64,Hodnik
eduroam,-64,Hodnik
eduroam,-64,Hodnik
fesb-mobile,-64,Hodnik
predavaonice,-64,Hodnik
Novinari,-59,Hodnik
SDZ,-60,Hodnik
predavaonice,-60,Hodnik
Vijecnici,-60,Hodnik
eduroam,-60,Hodnik
fesb-mobile,-61,Hodnik
eduroam,-61,Hodnik
Konferencija,-61,Hodnik
